Data,Casos de COVID-19,Mortes Confirmadas
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,1,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,2,0
2020-03-01,2,0
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,3,0
2020-03-05,8,0
2020-03-06,13,0
2020-03-07,19,0
2020-03-08,25,0
2020-03-09,25,0
2020-03-10,34,0
2020-03-11,52,0
2020-03-12,77,0
2020-03-13,151,0
2020-03-14,151,0
2020-03-15,200,0
2020-03-16,234,0
2020-03-17,346,1
2020-03-18,529,4
2020-03-19,640,7
2020-03-20,970,11
2020-03-21,1178,18
2020-03-22,1546,25
2020-03-23,1924,34
2020-03-24,2247,46
2020-03-25,2554,59
2020-03-26,2985,77
2020-03-27,3417,92
2020-03-28,3904,114
2020-03-29,4256,136
2020-03-30,4630,163
2020-03-31,5717,201
2020-04-01,6880,242
2020-04-02,8044,324
2020-04-03,9194,363
2020-04-04,10360,445
2020-04-05,11254,486
2020-04-06,12183,564
2020-04-07,14034,686
2020-04-08,16188,820
2020-04-09,18145,954
2020-04-10,19789,1068
2020-04-11,20962,1140
2020-04-12,22192,1223
2020-04-13,23430,1328
2020-04-14,25262,1532
2020-04-15,28610,1757
2020-04-16,30683,1947
2020-04-17,33682,2141
2020-04-18,36722,2361
2020-04-19,38654,2462
2020-04-20,40743,2587
2020-04-21,43079,2741
2020-04-22,45757,2906
2020-04-23,49492,3313
2020-04-24,52995,3670
2020-04-25,59196,4045
2020-04-26,62859,4271
2020-04-27,66501,4543
2020-04-28,72899,5063
2020-04-29,79361,5511
2020-04-30,85380,5901
2020-05-01,92109,6410
2020-05-02,96559,6750
2020-05-03,101147,7025
2020-05-04,108266,7343
2020-05-05,114715,7921
2020-05-06,126611,8588
2020-05-07,135693,9188
2020-05-08,145892,9992
2020-05-09,156061,10656
2020-05-10,162699,11123
2020-05-11,169143,11625
2020-05-12,177602,12404
2020-05-13,189157,13158
2020-05-14,202918,13993
2020-05-15,218223,14817
2020-05-16,233142,15633
2020-05-17,241080,16118
2020-05-18,255368,16853
